artist_name,expert_selection_system_ranking,peer_selection_system_ranking,market_selection_system_ranking,date_of_birth,date_of_death,age,active_years,gender,dominant_style,number_of_paintings,number_of_styles,career_stage,style_stage,visual_originality_max,visual_originality_mean,visual_originality_95th_percentile,visual_originality_dominant_style_max,visual_originality_dominant_style_mean,visual_originality_dominant_style_95th_percentile
rafa-nasiri,0.0,0.03125,0.02781136638452241,1940,-,0.5764705882352941,0.4878048780487805,0,abstract_expressionism,0.00425531914893617,0.0,0.8888888888888888,0.950877192982456,0.3280634803480105,0.3393669390988392,0.3392353560029263,0.2823612638890191,0.2823612638890191,0.2823612638890191
ralph-hotere,0.19638242894056845,0.0859375,0.2587666263603385,1931,2013,0.6941176470588235,0.4268292682926829,0,minimalism,0.006914893617021276,0.2857142857142857,0.5238095238095238,0.648479427549195,0.2393025848410623,0.2475477784049672,0.247451796447634,0.1875657466049808,0.1875657466049808,0.1875657466049808
raoul-ubac,0.4341085271317829,0.0390625,0.33010882708585243,1910,1985,0.611764705882353,0.3292682926829268,0,abstract_expressionism,0.00851063829787234,0.0,0.8235294117647058,0.675243664717349,0.3724545663642341,0.3852875242508904,0.3851381363187831,0.3203670778606835,0.3203670778606835,0.3203670778606835
richard-diebenkorn,0.8656330749354005,0.3046875,0.8657799274486094,1922,1993,0.5647058823529412,0.5121951219512195,0,expressionism,0.04361702127659575,0.2857142857142857,0.01098901098901099,0.7380862329803328,0.2994051010103047,0.3097211325462366,0.3096010440497016,0.2532985513304742,0.2532985513304742,0.2532985513304742
richard-pousette-dart,0.6808785529715762,0.078125,0.4607013301088271,1916,1992,0.6235294117647059,0.6341463414634146,0,abstract_expressionism,0.0175531914893617,0.0,0.023809523809523808,0.003898635477582847,0.4372604785970993,0.4523263304192736,0.4521509494611946,0.3936100798137099,0.3936100798137099,0.3936100798137099
richard-tuttle,0.7932816537467701,0.1640625,0.3071342200725514,1941,-,0.5647058823529412,0.5243902439024389,0,minimalism,0.01808510638297872,0.1428571428571428,0.9090909090909092,0.9168157423971376,0.2642759066459429,0.27338155841322104,0.2732755598975229,0.2602500391900457,0.1946697741804815,0.2506068316176803
robert-goodnough,0.4224806201550387,0.078125,0.14026602176541714,1917,2010,0.8235294117647058,0.6707317073170732,0,abstract_expressionism,0.01648936170212766,0.1428571428571428,0.08333333333333333,0.1224171539961014,0.3513576074033504,0.3634636675410426,0.3633227413955734,0.3042239053472193,0.2770116551865513,0.3025196854613639
robert-nickle,0.11240310077519378,0.0859375,0.05320435308343397,1919,1980,0.4470588235294118,0.2195121951219512,0,abstract_expressionism,0.001595744680851064,0.0,1.0,0.7360623781676413,0.1403634397391939,0.1451996755479872,0.1451433771269185,0.1886508307619751,0.1703937963162697,0.1885672342635778
ronald-davis,0.13436692506459946,0.109375,0.5042321644498187,1937,-,0.611764705882353,0.08536585365853659,0,minimalism,0.001063829787234043,0.2857142857142857,0.7272727272727273,0.2853309481216458,0.1949118656614854,0.2016275727289545,0.2015493954606811,0.09403288569592363,0.08594697999945514,0.09321226623863543
sam-gilliam,0.6266149870801034,0.015625,0.6203143893591294,1933,-,0.6588235294117647,0.573170731707317,0,abstract_expressionism,0.01382978723404255,0.1428571428571428,0.5294117647058824,0.8760233918128655,0.3746717270559269,0.3875810774273423,0.3874308002134788,0.2800323703077457,0.2800323703077457,0.2800323703077457
victor-pasmore,0.6098191214470283,0.09375,0.2889963724304716,1908,1998,0.7882352941176469,0.5609756097560976,0,abstract_expressionism,0.006914893617021276,0.2857142857142857,0.5454545454545454,0.675243664717349,0.4433266728026211,0.4586015359292658,0.4584237218792342,0.3566243235530164,0.3566243235530164,0.3566243235530164
willem-de-kooning,0.9870801033591732,0.171875,0.9600967351874244,1904,1997,0.8235294117647058,0.573170731707317,0,abstract_expressionism,0.03882978723404255,0.1428571428571428,0.05,0.003898635477582847,0.4110646736676218,0.300115265846682,0.4130814189852181,0.5261235261304933,0.5261235261304933,0.5261235261304933
william-baziotes,0.8191214470284238,0.078125,0.3905683192261185,1912,1963,0.3294117647058823,0.2195121951219512,0,abstract_expressionism,0.01063829787234043,0.0,0.8,0.360233918128655,0.4178284077565408,0.4322247257099759,0.4320571387679773,0.3672749051064964,0.3672749051064964,0.3672749051064964
aubrey-beardsley,0.8682170542635659,0.578125,0.6844014510278114,1872,1898,0.035294117647058816,0.07317073170731707,0,art_nouveau_modern,0.1223404255319149,0.0,0.1295336787564767,0.04764851485148515,0.4340704671187806,0.2940075041386604,0.4417647723430083,0.3945416193818111,0.3074672109951859,0.3835088958053924
genevieve-asse,0.060723514211886376,0.0390625,0.24909310761789605,1923,-,0.7764705882352941,0.475609756097561,1,minimalism,0.006914893617021276,0.0,0.15,0.4669051878354204,0.07586970549253506,0.07848380348833349,0.07845337288165907,0.1582749055531066,0.1582749055531066,0.1582749055531066
